"player_name","team","position","points","start_percent"
"Antonio Gibson","NE","RB",8.7,0.001
"Brandin Cooks","NO","WR",5.2,0.001
"Josh Reynolds","NYJ","WR",0,0.001
"Jahan Dotson","Phi","WR",0,0.001
"AJ Dillon","Phi","RB",1.7,0.001
"AJ Barner","Sea","TE",12.2,0.001
"Elijah Arroyo","Sea","TE",6.4,0.001
"Kyle Juszczyk","SF","RB",6.2,0.001
"Isaac Guerendo","SF","RB",0,0.001
"Demarcus Robinson","SF","WR",3,0.001
"Tyler Lockett","Ten","WR",0,0.001
"Luke McCaffrey","Wsh","WR",10.1,0.001
"Jaylin Lane","Wsh","WR",3.8,0.001
