player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Justin Fields,NYJ,QB,FA,,@Mia,L 21-27,--,27.14,31st,24.2,74,5.1,60.64,20.2,--
Jerry Jeudy,Cle,WR,FA,,@Det,L 10-34,--,7.8,23rd,23,87.8,-3.1,31.2,7.8,--
Matt Gay,Wsh,K,FA,,@Atl,L 27-34,--,18,20th,22.6,27.6,-1.8,38,9.5,--
Geno Smith,LV,QB,FA,,Chi,L 24-25,--,9.78,30th,21.9,35,25,56.52,14.1,--
Xavier Worthy,KC,WR,FA,,Bal,W 37-20,--,17.1,20th,21.8,93.6,-0.5,17.1,8.6,--
Kyle Pitts Sr.,Atl,TE,FA,,Wsh,W 34-27,--,18,23rd,21.4,65.2,-4.6,46.5,11.6,--
James Conner,Ari,RB,FA,,Sea,L 20-23,--,--,23rd,20.8,56.6,-40.4,33.3,11.1,--
Brock Purdy,SF,QB,FA,,Jax,L 21-26,--,17.66,12th,20.3,77,2,34.44,17.2,--
49ers D/ST,SF,D/ST,FA,,Jax,L 21-26,--,0,7th,20.2,27.7,-5.7,21,5.3,--
Dak Prescott,Dal,QB,FA,,GB,T 40-40,--,30.96,2nd,19.9,77.6,-8.8,72.96,18.2,--
Calvin Ridley,Ten,WR,FA,,@Hou,L 0-26,--,5,18th,19.2,85.6,-4.2,24.1,6,--
Matthew Golden,GB,WR,FA,,@Dal,T 40-40,--,11.3,32nd,18.4,81.6,1.3,26.5,6.6,--
Isiah Pacheco,KC,RB,FA,,Bal,W 37-20,--,12.8,32nd,18.4,85,-3.6,27.3,6.8,--
Cardinals D/ST,Ari,D/ST,FA,,Sea,L 20-23,--,4,11th,17.6,24.6,-3.3,25,6.3,--
Rams D/ST,LAR,D/ST,FA,,Ind,W 27-20,--,6,1st,17.4,29.2,-3.4,34,8.5,--
CeeDee Lamb,Dal,WR,FA,,GB,T 40-40,--,--,5th,17.2,99.9,-0.1,38.2,12.7,--
Jayden Daniels,Wsh,QB,FA,,@Atl,L 27-34,--,--,4th,17,99.8,0,39.82,19.9,--
Keon Coleman,Buf,WR,FA,,NO,W 31-19,--,7.5,21st,16.1,81.6,-3.3,43.3,10.8,--
Rhamondre Stevenson,NE,RB,FA,,Car,W 42-13,--,5.1,17th,16,80.5,-1.5,35.6,8.9,--
Terry McLaurin,Wsh,WR,FA,,@Atl,L 27-34,--,--,4th,15.9,95.5,-2.3,24.9,8.3,--
Cooper Kupp,Sea,WR,FA,,@Ari,W 23-20,--,6.6,24th,15.9,82,-2.3,31.2,7.8,--
Buccaneers D/ST,TB,D/ST,FA,,Phi,L 25-31,--,5,10th,15.5,27.7,-25.6,26,6.5,--
Wil Lutz,Den,K,FA,,Cin,W 28-3,--,4,23rd,15.4,17.3,0.7,24,6,--
Dallas Goedert,Phi,TE,FA,,@TB,W 31-25,--,19.7,6th,15.2,67.8,-0.9,41.4,13.8,--
