player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Zach Ertz,Wsh,TE,FA,,@GB,L 18-27,--,18.4,21st,19.7,50,9.3,30,15,--
Jordan Love,GB,QB,FA,,Wsh,W 27-18,--,20.88,11th,19.3,70.7,3,36.8,18.4,--
Caleb Williams,Chi,QB,FA,,@Det,L 21-52,--,16.98,16th,18.2,72.2,-3.4,41.18,20.6,--
Colston Loveland,Chi,TE,FA,,@Det,L 21-52,--,0,17th,17.5,69.3,-11.9,3.2,1.6,--
Tyler Bass,Buf,K,FA,,@NYJ,W 30-10,--,--,29th,16.8,43.7,-12.5,--,--,--
Evan McPherson,Cin,K,FA,,Jax,W 31-27,--,7,6th,16.8,18.9,2.1,12,6,--
Chris Olave,NO,WR,FA,,SF,L 21-26,--,11.4,9th,16.5,87.4,-1.4,23.8,11.9,--
George Kittle,SF,TE,FA,,@NO,W 26-21,--,--,24th,16.4,99.7,-0.2,12.5,12.5,--
J.K. Dobbins,Den,RB,FA,,@Ind,L 28-29,--,15.5,16th,16.2,84.9,-0.6,30.3,15.2,--
Michael Pittman Jr.,Ind,WR,FA,,Den,W 29-28,--,8,2nd,16,85.9,0,28,14,--
J.J. McCarthy,Min,QB,FA,,Atl,L 6-22,--,2.82,22nd,14.3,66.3,-0.2,25.04,12.5,--
Jonnu Smith,Pit,TE,FA,,Sea,L 17-31,--,6.7,32nd,13.9,34.4,11.8,19.2,9.6,--
Quentin Johnston,LAC,WR,FA,,@LV,Mon 9:00 PM,--,15.9,27th,12.8,64.8,61.2,24.9,24.9,--
Cowboys D/ST,Dal,D/ST,FA,,NYG,W 40-37,--,-4,21st,12.5,14.3,10.6,-3,-1.5,--
Stefon Diggs,NE,WR,FA,,@Mia,W 33-27,--,7.2,22nd,12.4,87.3,-2.1,18.9,9.5,--
Jared Goff,Det,QB,FA,,Chi,W 52-21,--,33.96,21st,12.1,62.2,-6.2,44.86,22.4,--
RJ Harvey,Den,RB,FA,,@Ind,L 28-29,--,3.4,16th,12,88,-3.6,11.3,5.7,--
Brandon McManus,GB,K,FA,,Wsh,W 27-18,--,10,13th,11.6,13.6,2.2,19,9.5,--
C.J. Stroud,Hou,QB,FA,,TB,Mon 6:00 PM,--,14.98,23rd,11.4,62.2,-7.2,8.72,8.7,--
Jacory Croskey-Merritt,Wsh,RB,FA,,@GB,L 18-27,--,1.7,22nd,11.4,83,0.5,15.9,8,--
Trevor Lawrence,Jax,QB,FA,,@Cin,L 27-31,--,19.24,13th,11.3,36.5,-2.9,29.56,14.8,--
Dylan Sampson,Cle,RB,FA,,@Bal,L 17-41,--,10.9,25th,11,66.5,33.8,28.2,14.1,--
Jordan Mason,Min,RB,FA,,Atl,L 6-22,--,5.8,15th,11,76.2,2.1,14.3,7.2,--
Nick Chubb,Hou,RB,FA,,TB,Mon 6:00 PM,--,15.2,29th,10.7,73.7,-1.6,6,6,--
Brenton Strange,Jax,TE,FA,,@Cin,L 27-31,--,4.7,29th,10.4,26.7,6.5,14.6,7.3,--
Matthew Golden,GB,WR,FA,,Wsh,W 27-18,--,1.5,11th,10.3,87.1,-3.6,5.1,2.6,--
Xavier Worthy,KC,WR,FA,,Phi,L 17-20,--,--,17th,10.2,94.9,-3.5,0,0,--
Jets D/ST,NYJ,D/ST,FA,,Buf,L 10-30,--,-3,1st,9.8,14.9,-9.1,2,1,--
Khalil Shakir,Buf,WR,FA,,@NYJ,W 30-10,--,2.2,24th,9.4,79.3,-2.1,14.6,7.3,--
Harold Fannin Jr.,Cle,TE,FA,,@Bal,L 17-41,--,9.8,30th,9,27.7,26.9,23.4,11.7,--
Buccaneers D/ST,TB,D/ST,FA,,@Hou,Mon 6:00 PM,--,5,28th,8.9,14.5,-4.4,0,0,--
Jason Sanders,Mia,K,FA,,NE,L 27-33,--,--,21st,8.8,15.5,-2.9,--,--,--
Brock Purdy,SF,QB,FA,,@NO,W 26-21,--,--,19th,8.7,81.2,-9.6,16.78,16.8,--
Jason Myers,Sea,K,FA,,@Pit,W 31-17,--,8,21st,8.7,10.6,-1.9,16,8,--
Joshua Karty,LAR,K,FA,,@Ten,W 33-19,--,9,13th,8.4,10.5,-1.1,11,5.5,--
Cooper Kupp,Sea,WR,FA,,@Pit,W 31-17,--,16,15th,8.2,84.1,-5.8,19.5,9.8,--
Rhamondre Stevenson,NE,RB,FA,,@Mia,W 33-27,--,21.2,13th,7.7,77.9,-3.6,25.9,13,--
Matthew Stafford,LAR,QB,FA,,@Ten,W 33-19,--,17.32,3rd,7.7,33.4,1.1,30.92,15.5,--
Austin Ekeler,Wsh,RB,FA,,@GB,L 18-27,--,4.4,22nd,7.6,81.4,-3.7,13.1,6.6,--
Will Reichard,Min,K,FA,,Atl,L 6-22,--,8,6th,6.5,7.5,1.3,17,8.5,--
Commanders D/ST,Wsh,D/ST,FA,,@GB,L 18-27,--,-1,9th,6.3,12.3,-13.1,7,3.5,--
Chiefs D/ST,KC,D/ST,FA,,Phi,L 17-20,--,4,6th,6.2,12.4,-4.1,6,3,--
Giants D/ST,NYG,D/ST,FA,,@Dal,L 37-40,--,-3,9th,6.2,10.6,-4.3,-3,-1.5,--
Zach Charbonnet,Sea,RB,FA,,@Pit,W 31-17,--,1,27th,6,73,2.2,11.7,5.9,--
Dallas Goedert,Phi,TE,FA,,@KC,W 20-17,--,--,14th,5.8,72.3,-2.4,11.4,11.4,--
Michael Penix Jr.,Atl,QB,FA,,@Min,W 22-6,--,5.3,24th,5.4,28.2,8.1,29.32,14.7,--
Chargers D/ST,LAC,D/ST,FA,,@LV,Mon 9:00 PM,--,14,16th,5.3,6.9,3.8,2,2,--
Aaron Rodgers,Pit,QB,FA,,Sea,L 17-31,--,10.42,17th,5.2,20.5,11.8,36.08,18,--
Jayden Reed,GB,WR,FA,,Wsh,W 27-18,--,0,11th,5.2,70.1,-0.7,13.5,6.8,--
Daniel Jones,Ind,QB,FA,,Den,W 29-28,--,22.84,1st,5,21.2,16.3,52.32,26.2,--
Bears D/ST,Chi,D/ST,FA,,@Det,L 21-52,--,-11,27th,4.7,8.6,-5.9,2,1,--
Rashid Shaheed,NO,WR,FA,,SF,L 21-26,--,15.2,9th,4.5,66.3,-3.7,24.5,12.3,--
Rashee Rice,KC,WR,FA,,Phi,L 17-20,--,--,17th,4.3,87.4,-2.5,--,--,--
Cedric Tillman,Cle,WR,FA,,@Bal,L 17-41,--,10.2,31st,4.1,47,4.3,26.4,13.2,--
Jauan Jennings,SF,WR,FA,,@NO,W 26-21,--,19.9,7th,3.6,75.6,-5.7,23.5,11.8,--
Daniel Carlson,LV,K,FA,,LAC,Mon 9:00 PM,--,12,24th,3.3,4.2,0,10,10,--
Joe Mixon,Hou,RB,FA,,TB,Mon 6:00 PM,--,--,29th,3.2,67.7,-2.4,--,--,--
Geno Smith,LV,QB,FA,,LAC,Mon 9:00 PM,--,3.2,27th,3.1,12.2,3.1,17.48,17.5,--
Tua Tagovailoa,Mia,QB,FA,,NE,L 27-33,--,18.6,18th,3,23.9,-7.8,23.86,11.9,--
Nick Folk,NYJ,K,FA,,Buf,L 10-30,--,6,27th,3,4.2,-0.1,16,8,--
Trey Benson,Ari,RB,FA,,Car,W 27-22,--,8.4,21st,2.8,55.8,4.4,16.9,8.5,--
Cade Otton,TB,TE,FA,,@Hou,Mon 6:00 PM,--,5.5,12th,2.8,15.6,-4.1,0,0,--
Kayshon Boutte,NE,WR,FA,,@Mia,W 33-27,--,8.6,22nd,2.7,26.4,25.9,24.9,12.5,--
Spencer Shrader,Ind,K,FA,,Den,W 29-28,--,18,29th,2.5,3.1,1.7,34,17,--
Jerome Ford,Cle,RB,FA,,@Bal,L 17-41,--,10.4,25th,2.5,50.3,-25.7,11.9,6,--
