player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Cam Ward,Ten,QB,FA,,@Den,L 12-20,13.7,2.48,--,1.2,25,-1.2,2.48,2.5,--
Jayden Higgins,Hou,WR,FA,,@LAR,L 9-14,9.1,5.2,--,1.2,57.3,-3.5,5.2,5.2,--
Rachaad White,TB,RB,FA,,@Atl,W 23-20,7.8,2.6,--,1.2,54.8,-2,2.6,2.6,--
Trey Benson,Ari,RB,FA,,@NO,W 20-13,7.9,8.5,--,1.2,51.4,0,8.5,8.5,--
Chig Okonkwo,Ten,TE,FA,,@Den,L 12-20,7.7,4.9,--,1.2,11.2,-0.2,4.9,4.9,--
Browns D/ST,Cle,D/ST,FA,,Cin,L 16-17,4.3,7,--,1.1,2,-0.2,7,7,--
Geno Smith,LV,QB,FA,,@NE,W 20-13,15,17.48,--,1.1,9.1,-0.1,17.48,17.5,--
Aaron Rodgers,Pit,QB,FA,,@NYJ,W 34-32,13,25.66,--,1.1,8.9,0.2,25.66,25.7,--
Najee Harris,LAC,RB,FA,,KC,W 27-21,5.4,2,--,1.1,45.5,1.5,2,2,--
Spencer Shrader,Ind,K,FA,,Mia,W 33-8,8,16,--,1,1.5,0.3,16,16,--
Sam Darnold,Sea,QB,FA,,SF,L 13-17,15.3,5.4,--,1,9.6,0.2,5.4,5.4,--
Ollie Gordon II,Mia,RB,FA,,@Ind,L 8-33,7,1.3,--,1,43.3,11.1,1.3,1.3,--
Romeo Doubs,GB,WR,FA,,Det,W 27-13,8.4,8.8,--,0.9,19.7,1.6,8.8,8.8,--
Dalton Schultz,Hou,TE,FA,,@LAR,L 9-14,7.6,5.8,--,0.8,6.5,0.1,5.8,5.8,--
Russell Wilson,NYG,QB,FA,,@Wsh,L 6-21,16,11.12,--,0.8,4,0.5,11.12,11.1,--
Darnell Mooney,Atl,WR,FA,,TB,L 20-23,0,0,--,0.7,65.4,-0.6,--,--,--
Chris Godwin Jr.,TB,WR,FA,,@Atl,W 23-20,0,0,--,0.7,80.8,-2.1,--,--,--
Andy Borregales,NE,K,FA,,LV,L 13-20,7.8,7,--,0.7,1,0.1,7,7,--
Chad Ryland,Ari,K,FA,,@NO,W 20-13,7.6,10,--,0.7,0.9,0.1,10,10,--
DeMario Douglas,NE,WR,FA,,LV,L 13-20,8.5,8.2,--,0.6,20.4,0.9,8.2,8.2,--
Graham Gano,NYG,K,FA,,@Wsh,L 6-21,7.4,8,--,0.6,0.8,0,8,8,--
Kareem Hunt,KC,RB,FA,,@LAC,L 21-27,5.9,4.6,--,0.6,12.3,-0.3,4.6,4.6,--
Blake Grupe,NO,K,FA,,Ari,L 13-20,7.5,6,--,0.6,0.8,0,6,6,--
Braelon Allen,NYJ,RB,FA,,Pit,L 32-34,5,6.9,--,0.6,42.4,1,6.9,6.9,--
Justice Hill,Bal,RB,FA,,@Buf,L 40-41,6.7,-0.1,--,0.6,15.2,0.3,-0.1,-0.1,--
Raiders D/ST,LV,D/ST,FA,,@NE,W 20-13,4.3,9,--,0.5,0.9,-0.1,9,9,--
Mason Taylor,NYJ,TE,FA,,Pit,L 32-34,7.1,3,--,0.5,6.2,0.2,3,3,--
Quentin Johnston,LAC,WR,FA,,KC,W 27-21,6.4,24.9,--,0.5,3.8,0.3,24.9,24.9,--
