player_name,team,position,type,blank,opp,status,proj,points,oprk,start_percent,pct_rostered,plus_minus,fpts,avg,last
Brock Purdy,SF,QB,FA,,Ari,W 16-15,--,--,15th,7,75.1,-6.2,16.78,16.8,--
Marcus Mariota,Wsh,QB,FA,,LV,W 41-24,--,20.28,18th,6.4,7.3,7.2,20.28,20.3,--
Jake Browning,Cin,QB,FA,,@Min,L 10-48,--,5.9,10th,6.3,13.3,13.2,23.64,11.8,--
Kenneth Gainwell,Min,RB,FA,,@NE,W 21-14,--,9.6,18th,6.3,27.1,17.1,21.5,7.2,--
Aaron Jones Sr.,MIN,RB,FA,,Cin,W 48-10,--,--,31st,6,84.2,-8.2,18,9,--
Romeo Doubs,GB,WR,FA,,@Cle,L 10-13,--,4.5,18th,6,33.8,13.5,25.1,8.4,--
Matthew Golden,GB,WR,FA,,@Cle,L 10-13,--,10.1,18th,5.9,80.3,-6.8,15.2,5.1,--
Brenton Strange,Jax,TE,FA,,Hou,W 17-10,--,12.1,4th,5.9,21.3,-5.4,26.7,8.9,--
Chig Okonkwo,Ten,TE,FA,,Ind,L 20-41,--,11.6,7th,5.8,15.1,5.3,24,8,--
Will Reichard,Min,K,FA,,Cin,W 48-10,--,15,9th,5.4,6.5,-1.1,32,10.7,--
Rashid Shaheed,NO,WR,FA,,@Sea,L 13-44,--,8.2,1st,5.4,65.1,-1.1,32.7,10.9,--
Kareem Hunt,KC,RB,FA,,@NYG,W 22-9,--,11.4,32nd,4.9,31.6,7.1,20.4,6.8,--
Giants D/ST,NYG,D/ST,FA,,KC,L 9-22,--,2,14th,4.4,8.1,-2.5,-1,-0.3,--
Tua Tagovailoa,Mia,QB,FA,,@Buf,L 21-31,--,12.84,26th,4.3,23,-0.9,36.7,12.2,--
Jaguars D/ST,Jax,D/ST,FA,,Hou,W 17-10,--,13,24th,4.2,5.1,3.1,32,10.7,--
Rashee Rice,KC,WR,FA,,@NYG,W 22-9,--,--,32nd,3.8,86.2,-1.2,--,--,--
Cowboys D/ST,Dal,D/ST,FA,,@Chi,L 14-31,--,-2,18th,3.5,5.9,-8.4,-5,-1.7,--
Daniel Carlson,LV,K,FA,,@Wsh,L 24-41,--,4,17th,3.3,4.1,0,26,8.7,--
Dalton Schultz,Hou,TE,FA,,@Jax,L 10-17,--,8.9,10th,3.2,9.3,1.3,20.6,6.9,--
Rachaad White,TB,RB,FA,,NYJ,W 29-27,--,2.4,24th,3,51.9,4.2,19.6,6.5,--
